Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Relative General Population Compliance (% relative to general population subpopulation),Actual/ Converted Superspreader Compliance Required (relative to vaccine efficacy),Actual/ Converted General Population Compliance Required (relative to vaccine efficacy)
10,0,12.5,0.0,15.625
10,10,10.0,12.5,12.5
10,20,7.5,25.0,9.375
10,30,5.0,37.5,6.25
10,40,2.5,50.0,3.125
10,50,0.0,62.5,0.0
10,60,0.0,75.0,0.0
10,70,0.0,87.5,0.0
10,80,0.0,100.0,0.0
10,90,0.0,112.5,0.0
10,100,0.0,125.0,0.0
20,0,25.0,0.0,31.25
20,10,22.5,12.5,28.125
20,20,20.0,25.0,25.0
20,30,17.5,37.5,21.875
20,40,15.0,50.0,18.75
20,50,12.5,62.5,15.625
20,60,10.0,75.0,12.5
20,70,7.5,87.5,9.375
20,80,5.0,100.0,6.25
20,90,2.5,112.5,3.125
20,100,0.0,125.0,0.0
30,0,37.5,0.0,46.875
30,10,35.0,12.5,43.75
30,20,32.5,25.0,40.625
30,30,30.0,37.5,37.5
30,40,27.500000000000004,50.0,34.375
30,50,25.0,62.5,31.25
30,60,22.5,75.0,28.125
30,70,20.0,87.5,25.0
30,80,17.5,100.0,21.875
30,90,15.0,112.5,18.75
30,100,12.5,125.0,15.625
40,0,50.0,0.0,62.5
40,10,47.5,12.5,59.375
40,20,45.0,25.0,56.25
40,30,42.5,37.5,53.125
40,40,40.0,50.0,50.0
40,50,37.5,62.5,46.875
40,60,35.0,75.0,43.75
40,70,32.5,87.5,40.625
40,80,30.0,100.0,37.5
40,90,27.500000000000004,112.5,34.375
40,100,25.0,125.0,31.25
50,0,62.5,0.0,78.125
50,10,60.0,12.5,75.0
50,20,57.49999999999999,25.0,71.87499999999999
50,30,55.00000000000001,37.5,68.75
50,40,52.5,50.0,65.625
50,50,50.0,62.5,62.5
50,60,47.5,75.0,59.375
50,70,45.0,87.5,56.25
50,80,42.5,100.0,53.125
50,90,40.0,112.5,50.0
50,100,37.5,125.0,46.875
60,0,75.0,0.0,93.75
60,10,72.5,12.5,90.625
60,20,70.0,25.0,87.5
60,30,67.5,37.5,84.375
60,40,65.0,50.0,81.25
60,50,62.5,62.5,78.125
60,60,60.0,75.0,75.0
60,70,57.49999999999999,87.5,71.87499999999999
60,80,55.00000000000001,100.0,68.75
60,90,52.5,112.5,65.625
60,100,50.0,125.0,62.5
70,0,87.5,0.0,109.375
70,10,85.0,12.5,106.25
70,20,82.5,25.0,103.125
70,30,80.0,37.5,100.0
70,40,77.5,50.0,96.875
70,50,75.0,62.5,93.75
70,60,72.5,75.0,90.625
70,70,70.0,87.5,87.5
70,80,67.5,100.0,84.375
70,90,65.0,112.5,81.25
70,100,62.5,125.0,78.125
80,0,100.0,0.0,125.0
80,10,97.5,12.5,121.875
80,20,95.0,25.0,118.75
80,30,92.5,37.5,115.625
80,40,90.0,50.0,112.5
80,50,87.5,62.5,109.375
80,60,85.0,75.0,106.25
80,70,82.5,87.5,103.125
80,80,80.0,100.0,100.0
80,90,77.5,112.5,96.875
80,100,75.0,125.0,93.75
90,0,100.0,0.0,125.0
90,10,100.0,12.5,125.0
90,20,100.0,25.0,125.0
90,30,100.0,37.5,125.0
90,40,100.0,50.0,125.0
90,50,100.0,62.5,125.0
90,60,97.5,75.0,121.875
90,70,95.0,87.5,118.75
90,80,92.5,100.0,115.625
90,90,90.0,112.5,112.5
90,100,87.5,125.0,109.375
100,0,100.0,0.0,125.0
100,10,100.0,12.5,125.0
100,20,100.0,25.0,125.0
100,30,100.0,37.5,125.0
100,40,100.0,50.0,125.0
100,50,100.0,62.5,125.0
100,60,100.0,75.0,125.0
100,70,100.0,87.5,125.0
100,80,100.0,100.0,125.0
100,90,100.0,112.5,125.0
100,100,100.0,125.0,125.0
